Dates,Price,Destination,HotelName,InviaCode,Operator,MealType
"23.6. - 30.6.
							(8 dní)",37525,Rhodos,Sentido Apollo Blue,49207,Firo-tour SK,All Inclusive
"24.6. - 1.7.
							(8 dní)",27169,Rhodos,Sentido Apollo Blue,49207,Neckermann CZ,Polopenze
"24.6. - 1.7.
							(8 dní)",11090,Rhodos,Summerland Hotel & Bungalows,98440,Electra Tours,Snídaně
"24.6. - 1.7.
							(8 dní)",10990,Rhodos,Summerland Hotel & Bungalows,98440,Electra Tours,Bez stravy
"23.6. - 30.6.
							(8 dní)",27150,Rhodos,Elysium Resort and Spa,30030,Fischer,Polopenze
"2.6. - 9.6.
							(8 dní)",27610,Rhodos,Atlantica Imperial Resort,7925,Greece tours,Polopenze
"23.6. - 30.6.
							(8 dní)",36640,Rhodos,Elysium Resort and Spa,30030,Greece tours,Snídaně
"23.6. - 1.7.
							(9 dní)",27611,Rhodos,Elysium Resort and Spa,30030,,Polopenze
"23.6. - 30.6.
							(8 dní)",17170,Rhodos,Romanza Mare I.,9011,Hydrotour SK,All Inclusive
"25.6. - 2.7.
							(8 dní)",17704,Rhodos,Romanza Mare I.,9011,Hydrotour SK,All Inclusive
"24.6. - 1.7.
							(8 dní)",22380,Rhodos,Ocean Blue,21731,My Planet (Travel Planet),All Inclusive
"24.6. - 1.7.
							(8 dní)",22520,Rhodos,PrimaSol Aquis Miraluna Seaside,100930,My Planet (Travel Planet),All Inclusive
"3.6. - 10.6.
							(8 dní)",27610,Rhodos,Atlantica Imperial Resort,7925,,Polopenze
"4.6. - 11.6.
							(8 dní)",27610,Rhodos,Atlantica Imperial Resort,7925,Greece tours,Polopenze
"2.6. - 9.6.
							(8 dní)",31490,Rhodos,Collossos Beach,35788,Inex,All Inclusive
"3.6. - 10.6.
							(8 dní)",31490,Rhodos,Collossos Beach,35788,Inex,All Inclusive
"4.6. - 11.6.
							(8 dní)",31490,Rhodos,Collossos Beach,35788,Inex,All Inclusive
"2.6. - 9.6.
							(8 dní)",14978,Rhodos,Mitsis La Vita,24321,Solartour SK,Polopenze
"3.6. - 10.6.
							(8 dní)",14050,Rhodos,Mitsis La Vita,24321,Electra Tours,Polopenze
"4.6. - 11.6.
							(8 dní)",15818,Rhodos,Mitsis La Vita,24321,Maxi Reisen,Polopenze
"3.6. - 10.6.
							(8 dní)",18690,Rhodos,Best Western Plaza,94531,Pantour,Polopenze
"3.6. - 10.6.
							(8 dní)",23104,Rhodos,Best Western Plaza,94531,,Plná penze
"4.6. - 11.6.
							(8 dní)",20110,Rhodos,Best Western Plaza,94531,Maxi Reisen,Polopenze
"3.6. - 10.6.
							(8 dní)",23690,Rhodos,Aldemar Paradise Mare,76873,Electra Tours,All Inclusive
"3.6. - 10.6.
							(8 dní)",12450,Rhodos,Orion,29182,Electra Tours,Snídaně
"3.6. - 10.6.
							(8 dní)",14089,Rhodos,Orion,29182,Maxi Reisen,Polopenze
"4.6. - 11.6.
							(8 dní)",13753,Rhodos,Orion,29182,Maxi Reisen,Polopenze
"3.6. - 10.6.
							(8 dní)",9010,Rhodos,Panorama Studia,57251,My Planet (Travel Planet),Bez stravy
"3.6. - 10.6.
							(8 dní)",10130,Rhodos,Panorama Studia,57251,My Planet (Travel Planet),Snídaně
"4.6. - 11.6.
							(8 dní)",9352,Rhodos,Panorama Studia,57251,Maxi Reisen,Bez stravy
"2.6. - 9.6.
							(8 dní)",11415,Rhodos,Tsambika's Studios (Pefkos),98395,Brenna,Bez stravy
"30.9. - 7.10.
							(8 dní)",10630,Rhodos,Steves,29279,Maxi Reisen,Bez stravy
"1.10. - 8.10.
							(8 dní)",10112,Rhodos,Steves,29279,Maxi Reisen,Bez stravy
"1.10. - 8.10.
							(8 dní)",16940,Rhodos,Kiotari Bay,21754,Fischer,All Inclusive
"30.9. - 7.10.
							(8 dní)",10650,Rhodos,Summerland Hotel & Bungalows,98440,Electra Tours,Bez stravy
"30.9. - 7.10.
							(8 dní)",10650,Rhodos,Summerland Hotel & Bungalows,98440,Electra Tours,Snídaně
"30.9. - 7.10.
							(8 dní)",27015,Rhodos,Sentido Apollo Blue,49207,Neckermann CZ,Polopenze
"30.9. - 7.10.
							(8 dní)",31240,Rhodos,Sentido Apollo Blue,49207,Neckermann CZ,All Inclusive
"30.9. - 7.10.
							(8 dní)",14310,Rhodos,Studio Margaret,48931,My Planet (Travel Planet),All Inclusive
"30.9. - 7.10.
							(8 dní)",12470,Rhodos,Studio Margaret,48931,My Planet (Travel Planet),Polopenze
"29.9. - 6.10.
							(8 dní)",32320,Rhodos,Elysium Resort and Spa,30030,Greece tours,Snídaně
"29.9. - 6.10.
							(8 dní)",29790,Rhodos,Elysium Resort and Spa,30030,,Polopenze
"29.9. - 8.10.
							(10 dní)",35490,Rhodos,Elysium Resort and Spa,30030,Snail Travel Int.,Polopenze
"29.9. - 6.10.
							(8 dní)",10839,Rhodos,Pals Studios,101437,Brenna,Bez stravy
"30.9. - 7.10.
							(8 dní)",21370,Rhodos,PrimaSol Aquis Miraluna Seaside,100930,My Planet (Travel Planet),All Inclusive
"16.9. - 23.9.
							(8 dní)",12990,Rhodos,Orion,29182,Electra Tours,Snídaně
"16.9. - 23.9.
							(8 dní)",15109,Rhodos,Orion,29182,Maxi Reisen,Polopenze
"17.9. - 24.9.
							(8 dní)",14405,Rhodos,Orion,29182,Maxi Reisen,Polopenze
"16.9. - 23.9.
							(8 dní)",10165,Rhodos,Panorama Studia,57251,Maxi Reisen,Bez stravy
"16.9. - 23.9.
							(8 dní)",12760,Rhodos,Panorama Studia,57251,My Planet (Travel Planet),Snídaně
"17.9. - 24.9.
							(8 dní)",9561,Rhodos,Panorama Studia,57251,Maxi Reisen,Bez stravy
"15.9. - 22.9.
							(8 dní)",11415,Rhodos,Tsambika's Studios (Pefkos),98395,Brenna,Bez stravy
"16.9. - 23.9.
							(8 dní)",10690,Rhodos,Studio Anika,23604,Electra Tours,Bez stravy
"16.9. - 23.9.
							(8 dní)",11750,Rhodos,Studio Anika,23604,Electra Tours,Snídaně
"16.9. - 23.9.
							(8 dní)",13350,Rhodos,Studio Anika,23604,Electra Tours,Polopenze
"16.9. - 23.9.
							(8 dní)",17350,Rhodos,The Residence,57788,Electra Tours,Snídaně
"16.9. - 23.9.
							(8 dní)",24250,Rhodos,The Residence,57788,Electra Tours,All Inclusive
"15.9. - 22.9.
							(8 dní)",19381,Rhodos,Lindos Sun,94331,Exim Tours,Polopenze
"15.9. - 23.9.
							(9 dní)",19381,Rhodos,Lindos Sun,94331,Exim Tours,Polopenze
"16.9. - 23.9.
							(8 dní)",18190,Rhodos,Lindos Sun,94331,Electra Tours,Polopenze
"15.9. - 22.9.
							(8 dní)",23571,Rhodos,Aegean Breeze,107608,Exim Tours,All Inclusive
"15.9. - 23.9.
							(9 dní)",23571,Rhodos,Aegean Breeze,107608,Exim Tours,All Inclusive
"16.9. - 23.9.
							(8 dní)",23096,Rhodos,Aegean Breeze,107608,Exim Tours,All Inclusive
"15.9. - 22.9.
							(8 dní)",11799,Rhodos,Anemoni,26382,Brenna,Bez stravy
"9.9. - 16.9.
							(8 dní)",10603,Rhodos,Panorama Studia,57251,Maxi Reisen,Bez stravy
"9.9. - 16.9.
							(8 dní)",13210,Rhodos,Panorama Studia,57251,My Planet (Travel Planet),Snídaně
"10.9. - 17.9.
							(8 dní)",10086,Rhodos,Panorama Studia,57251,Maxi Reisen,Bez stravy
"8.9. - 15.9.
							(8 dní)",12375,Rhodos,Tsambika's Studios (Pefkos),98395,Brenna,Bez stravy
"9.9. - 16.9.
							(8 dní)",24150,Rhodos,The Residence,57788,Electra Tours,All Inclusive
"9.9. - 16.9.
							(8 dní)",17250,Rhodos,The Residence,57788,Electra Tours,Snídaně
"8.9. - 15.9.
							(8 dní)",23576,Rhodos,Lindos Sun,94331,Alexandria,Polopenze
"8.9. - 16.9.
							(9 dní)",26201,Rhodos,Lindos Sun,94331,Exim Tours,Polopenze
"9.9. - 16.9.
							(8 dní)",25050,Rhodos,Lindos Sun,94331,Electra Tours,Polopenze
"8.9. - 15.9.
							(8 dní)",23851,Rhodos,Aegean Breeze,107608,Exim Tours,All Inclusive
"8.9. - 16.9.
							(9 dní)",23851,Rhodos,Aegean Breeze,107608,Exim Tours,All Inclusive
"9.9. - 16.9.
							(8 dní)",23851,Rhodos,Aegean Breeze,107608,Exim Tours,All Inclusive
"8.9. - 15.9.
							(8 dní)",11799,Rhodos,Anemoni,26382,Brenna,Bez stravy
"9.9. - 16.9.
							(8 dní)",27905,Rhodos,Calypso Palace,99292,Neckermann CZ,All Inclusive
"9.9. - 16.9.
							(8 dní)",11350,Rhodos,Maran,25991,Electra Tours,Snídaně
"9.9. - 16.9.
							(8 dní)",10850,Rhodos,Maran,25991,Electra Tours,Bez stravy
"7.7. - 14.7.
							(8 dní)",15690,Rhodos,Rodos Blue,105859,Inex,Snídaně
"7.7. - 14.7.
							(8 dní)",20233,Rhodos,Rodos Blue,105859,Solartour SK,Polopenze
"8.7. - 15.7.
							(8 dní)",15690,Rhodos,Rodos Blue,105859,Inex,Snídaně
"8.7. - 15.7.
							(8 dní)",15050,Rhodos,Bayside Katsaras,24798,Electra Tours,Snídaně
"8.7. - 15.7.
							(8 dní)",16950,Rhodos,Bayside Katsaras,24798,Electra Tours,Polopenze
"8.7. - 15.7.
							(8 dní)",14050,Rhodos,Bayside Katsaras,24798,Electra Tours,Bez stravy
"8.7. - 15.7.
							(8 dní)",17940,Rhodos,Venezia Resort,82601,My Planet (Travel Planet),All Inclusive
"8.7. - 15.7.
							(8 dní)",15380,Rhodos,Venezia Resort,82601,My Planet (Travel Planet),Polopenze
"7.7. - 14.7.
							(8 dní)",18266,Rhodos,Romanza Mare II.,9012,Hydrotour SK,All Inclusive
"9.7. - 16.7.
							(8 dní)",18266,Rhodos,Romanza Mare II.,9012,Hydrotour SK,All Inclusive
"7.7. - 14.7.
							(8 dní)",23380,Rhodos,Eden Roc Resort,8302,Hydrotour SK,All Inclusive
"8.7. - 15.7.
							(8 dní)",19720,Rhodos,Eden Roc Resort,8302,My Planet (Travel Planet),All Inclusive
"8.7. - 15.7.
							(8 dní)",14440,Rhodos,Eden Roc Resort,8302,My Planet (Travel Planet),Snídaně
"7.7. - 14.7.
							(8 dní)",15090,Rhodos,Oasis,8744,Fischer,All Inclusive
"7.7. - 14.7.
							(8 dní)",13490,Rhodos,Oasis,8744,Fischer,Polopenze
"8.7. - 15.7.
							(8 dní)",20560,Rhodos,Oasis,8744,My Planet (Travel Planet),Polopenze
"8.7. - 15.7.
							(8 dní)",30890,Rhodos,Lindos Imperial Executive Suites,113664,Pantour,Polopenze
"8.7. - 15.7.
							(8 dní)",39790,Rhodos,Lindos Imperial Executive Suites,113664,,All Inclusive
"7.7. - 14.7.
							(8 dní)",26380,Rhodos,Nikos Takis Fashion,104524,Greece tours,Bez stravy
"8.7. - 15.7.
							(8 dní)",26380,Rhodos,Nikos Takis Fashion,104524,,Bez stravy
