Dates,Destination,InviaCode,Operator,MealType,Price,Hotel,Airport,Minute
"7.9. - 21.9.
							(15 dní)",Kréta,106444,Electra Tours,Bez stravy,19 990 Kč,Marni Village,Letecky - Brno,FM
"10.9. - 17.9.
							(8 dní)",Kréta,106444,Electra Tours,Bez stravy,13 890 Kč,Marni Village,"Letecky - Praha, Brno",FM
"10.9. - 24.9.
							(15 dní)",Kréta,106444,Electra Tours,Bez stravy,17 590 Kč,Marni Village,Letecky - Praha,FM
"14.9. - 28.9.
							(15 dní)",Kréta,106444,Electra Tours,Bez stravy,17 090 Kč,Marni Village,Letecky - Brno,FM
"17.9. - 24.9.
							(8 dní)",Kréta,106444,Electra Tours,Bez stravy,12 690 Kč,Marni Village,"Letecky - Praha, Brno",FM
"17.9. - 27.9.
							(11 dní)",Kréta,106444,Electra Tours,Bez stravy,14 490 Kč,Marni Village,Letecky - Praha,FM
"17.9. - 1.10.
							(15 dní)",Kréta,106444,Electra Tours,Bez stravy,16 250 Kč,Marni Village,Letecky - Praha,FM
"15.6. - 18.6.
							(4 dny)",Kréta,99783,Electra Tours,Bez stravy,10 150 Kč,Diamond Village Apartments,Letecky - Praha,Last minute
"15.6. - 18.6.
							(4 dny)",Kréta,99783,Electra Tours,Snídaně,10 650 Kč,Diamond Village Apartments,Letecky - Praha,Last minute
"15.6. - 29.6.
							(15 dní)",Kréta,99783,Electra Tours,Snídaně,16 990 Kč,Diamond Village Apartments,Letecky - Brno,FM
"15.6. - 29.6.
							(15 dní)",Kréta,99783,Electra Tours,Bez stravy,14 550 Kč,Diamond Village Apartments,Letecky - Brno,FM
"18.6. - 25.6.
							(8 dní)",Kréta,99783,Electra Tours,Snídaně,12 650 Kč,Diamond Village Apartments,"Letecky - Praha, Brno",FM
"18.6. - 25.6.
							(8 dní)",Kréta,99783,Electra Tours,Bez stravy,11 450 Kč,Diamond Village Apartments,"Letecky - Praha, Brno",FM
"18.6. - 2.7.
							(15 dní)",Kréta,99783,Electra Tours,Bez stravy,15 690 Kč,Diamond Village Apartments,Letecky - Praha,FM
"18.6. - 2.7.
							(15 dní)",Kréta,99783,Electra Tours,Snídaně,18 050 Kč,Diamond Village Apartments,Letecky - Praha,FM
"21.6. - 25.6.
							(5 dní)",Kréta,99783,Electra Tours,Bez stravy,10 490 Kč,Diamond Village Apartments,Letecky - Praha,Last minute
"21.6. - 25.6.
							(5 dní)",Kréta,99783,Electra Tours,Snídaně,11 190 Kč,Diamond Village Apartments,Letecky - Praha,Last minute
"27.9. - 1.10.
							(5 dní)",Rhodos,25557,Electra Tours,Plná penze,15 190 Kč,Studia Bright Star,Letecky - Praha,FM
"27.9. - 1.10.
							(5 dní)",Rhodos,25557,Electra Tours,Polopenze,13 550 Kč,Studia Bright Star,Letecky - Praha,FM
"30.9. - 7.10.
							(8 dní)",Rhodos,25557,Electra Tours,Bez stravy,14 890 Kč,Studia Bright Star,Letecky - Praha,FM
"30.9. - 7.10.
							(8 dní)",Rhodos,25557,Electra Tours,Plná penze,19 290 Kč,Studia Bright Star,Letecky - Praha,FM
"30.9. - 7.10.
							(8 dní)",Rhodos,25557,Electra Tours,Polopenze,16 590 Kč,Studia Bright Star,Letecky - Praha,FM
"4.10. - 11.10.
							(8 dní)",Rhodos,25557,Electra Tours,Plná penze,18 090 Kč,Studia Bright Star,Letecky - Praha,FM
"4.10. - 11.10.
							(8 dní)",Rhodos,25557,Electra Tours,Polopenze,15 090 Kč,Studia Bright Star,Letecky - Praha,FM
"4.10. - 11.10.
							(8 dní)",Rhodos,25557,Electra Tours,Bez stravy,11 590 Kč,Studia Bright Star,Letecky - Praha,FM
"4.10. - 15.10.
							(12 dní)",Rhodos,25557,Electra Tours,Plná penze,24 590 Kč,Studia Bright Star,Letecky - Praha,FM
"4.10. - 15.10.
							(12 dní)",Rhodos,25557,Electra Tours,Polopenze,19 650 Kč,Studia Bright Star,Letecky - Praha,FM
"21.9. - 28.9.
							(8 dní)",Korfu,107800,Electra Tours,Polopenze,15 590 Kč,Karina,Letecky - Brno,FM
"21.9. - 28.9.
							(8 dní)",Korfu,107800,Electra Tours,Plná penze,16 990 Kč,Karina,Letecky - Brno,FM
"21.9. - 28.9.
							(8 dní)",Korfu,107800,Electra Tours,Snídaně,13 490 Kč,Karina,Letecky - Brno,FM
"21.9. - 1.10.
							(11 dní)",Korfu,107800,Electra Tours,Plná penze,21 050 Kč,Karina,Letecky - Praha,FM
"21.9. - 1.10.
							(11 dní)",Korfu,107800,Electra Tours,Polopenze,18 890 Kč,Karina,Letecky - Praha,FM
"21.9. - 1.10.
							(11 dní)",Korfu,107800,Electra Tours,Snídaně,15 790 Kč,Karina,Letecky - Praha,FM
"23.9. - 30.9.
							(8 dní)",Korfu,107800,Electra Tours,Plná penze,17 150 Kč,Karina,Letecky - Praha,FM
"23.9. - 30.9.
							(8 dní)",Korfu,107800,Electra Tours,Polopenze,15 790 Kč,Karina,Letecky - Praha,FM
"23.9. - 30.9.
							(8 dní)",Korfu,107800,Electra Tours,Snídaně,13 650 Kč,Karina,Letecky - Praha,FM
"10.7. - 20.7.
							(11 dní)",Rhodos,34522,Electra Tours,All Inclusive,18 750 Kč,Rhodian Sun,Letecky - Praha,FM
"13.7. - 16.7.
							(4 dny)",Rhodos,34522,Electra Tours,Polopenze,10 650 Kč,Rhodian Sun,Letecky - Praha,FM
"13.7. - 16.7.
							(4 dny)",Rhodos,34522,Electra Tours,All Inclusive,11 490 Kč,Rhodian Sun,Letecky - Praha,FM
"15.7. - 22.7.
							(8 dní)",Rhodos,34522,Electra Tours,All Inclusive,15 990 Kč,Rhodian Sun,Letecky - Praha,FM
"15.7. - 22.7.
							(8 dní)",Rhodos,34522,Electra Tours,Polopenze,14 050 Kč,Rhodian Sun,Letecky - Praha,FM
"19.7. - 23.7.
							(5 dní)",Rhodos,34522,Electra Tours,Polopenze,11 390 Kč,Rhodian Sun,Letecky - Praha,Last minute
"19.7. - 23.7.
							(5 dní)",Rhodos,34522,Electra Tours,All Inclusive,12 490 Kč,Rhodian Sun,Letecky - Praha,Last minute
"20.7. - 30.7.
							(11 dní)",Rhodos,34522,Electra Tours,Polopenze,17 450 Kč,Rhodian Sun,Letecky - Praha,FM
"20.7. - 30.7.
							(11 dní)",Rhodos,34522,Electra Tours,All Inclusive,20 290 Kč,Rhodian Sun,Letecky - Praha,FM
"22.7. - 29.7.
							(8 dní)",Rhodos,34522,Electra Tours,All Inclusive,17 250 Kč,Rhodian Sun,Letecky - Praha,FM
"10.7. - 20.7.
							(11 dní)",Rhodos,98392,Electra Tours,Snídaně,14 150 Kč,Despina,Letecky - Praha,FM
"13.7. - 16.7.
							(4 dny)",Rhodos,98392,Electra Tours,Snídaně,10 150 Kč,Despina,Letecky - Praha,Last minute
"15.7. - 22.7.
							(8 dní)",Rhodos,98392,Electra Tours,Snídaně,13 150 Kč,Despina,Letecky - Praha,FM
"19.7. - 23.7.
							(5 dní)",Rhodos,98392,Electra Tours,Snídaně,10 850 Kč,Despina,Letecky - Praha,Last minute
"20.7. - 30.7.
							(11 dní)",Rhodos,98392,Electra Tours,Snídaně,14 450 Kč,Despina,Letecky - Praha,FM
"22.7. - 29.7.
							(8 dní)",Rhodos,98392,Electra Tours,Snídaně,13 150 Kč,Despina,Letecky - Praha,FM
"22.7. - 2.8.
							(12 dní)",Rhodos,98392,Electra Tours,Snídaně,15 390 Kč,Despina,Letecky - Praha,FM
"25.7. - 1.8.
							(8 dní)",Rhodos,98392,Electra Tours,Snídaně,12 650 Kč,Despina,Letecky - Brno,FM
"27.7. - 30.7.
							(4 dny)",Rhodos,98392,Electra Tours,Snídaně,10 250 Kč,Despina,Letecky - Praha,Last minute
"29.7. - 5.8.
							(8 dní)",Rhodos,98392,Electra Tours,Snídaně,13 150 Kč,Despina,Letecky - Praha,FM
"27.8. - 3.9.
							(8 dní)",Kréta,71559,Electra Tours,Snídaně,33 050 Kč,Minos Beach Art,"Letecky - Praha, Brno",FM
"27.8. - 3.9.
							(8 dní)",Kréta,71559,Electra Tours,Polopenze,37 450 Kč,Minos Beach Art,"Letecky - Praha, Brno",FM
"27.8. - 6.9.
							(11 dní)",Kréta,71559,Electra Tours,Polopenze,51 150 Kč,Minos Beach Art,Letecky - Praha,FM
